index,lon,lat,alt,time
344,100.496473,13.721257,11.1,2018-07-24 07:41:44
345,100.496513,13.721249,11.1,2018-07-24 07:41:45
346,100.496567,13.721213,11.2,2018-07-24 07:41:46
347,100.496609,13.721202,11.2,2018-07-24 07:41:47
348,100.496647,13.721193,11.3,2018-07-24 07:41:48
349,100.496682,13.721192,11.3,2018-07-24 07:41:49
350,100.496736,13.72118,11.4,2018-07-24 07:41:51
351,100.496775,13.721188,11.4,2018-07-24 07:41:52
352,100.496825,13.721202,11.5,2018-07-24 07:41:54
353,100.496889,13.721198,11.6,2018-07-24 07:41:56
354,100.49692,13.721213,11.7,2018-07-24 07:41:57
355,100.496956,13.721226,11.7,2018-07-24 07:41:58
356,100.496998,13.721274,11.9,2018-07-24 07:42:00
357,100.497015,13.721244,11.9,2018-07-24 07:42:01
358,100.49706,13.72121,12.0,2018-07-24 07:42:03
359,100.497095,13.721222,11.9,2018-07-24 07:42:05
360,100.497129,13.721188,11.8,2018-07-24 07:42:06
361,100.49717,13.721153,11.7,2018-07-24 07:42:07
362,100.497205,13.721125,11.6,2018-07-24 07:42:08
363,100.497238,13.721122,11.6,2018-07-24 07:42:09
364,100.497262,13.721138,11.6,2018-07-24 07:42:10
365,100.497298,13.721147,11.5,2018-07-24 07:42:11
366,100.497339,13.721167,11.5,2018-07-24 07:42:12
367,100.497373,13.721164,11.5,2018-07-24 07:42:13
368,100.497407,13.721176,11.4,2018-07-24 07:42:14
369,100.497466,13.721184,11.4,2018-07-24 07:42:16
370,100.4975,13.721199,11.4,2018-07-24 07:42:17
371,100.497535,13.721209,11.4,2018-07-24 07:42:18
372,100.497584,13.721196,11.4,2018-07-24 07:42:19
373,100.497623,13.721231,11.4,2018-07-24 07:42:20
374,100.497662,13.721228,11.4,2018-07-24 07:42:21
375,100.497726,13.721254,11.4,2018-07-24 07:42:23
376,100.497764,13.721259,11.4,2018-07-24 07:42:24
377,100.497801,13.721256,11.4,2018-07-24 07:42:25
378,100.497843,13.721251,11.4,2018-07-24 07:42:26
379,100.497874,13.721257,11.3,2018-07-24 07:42:27
380,100.497912,13.72126,11.3,2018-07-24 07:42:28
381,100.497964,13.721268,11.3,2018-07-24 07:42:30
382,100.497992,13.721277,11.3,2018-07-24 07:42:31
383,100.498045,13.721288,11.2,2018-07-24 07:42:33
384,100.498079,13.721282,11.2,2018-07-24 07:42:34
385,100.498111,13.72128,11.1,2018-07-24 07:42:35
386,100.498165,13.721289,11.1,2018-07-24 07:42:37
387,100.498194,13.721294,11.0,2018-07-24 07:42:38
388,100.498229,13.721291,10.9,2018-07-24 07:42:39
389,100.498262,13.721288,10.8,2018-07-24 07:42:40
390,100.498291,13.721287,10.6,2018-07-24 07:42:41
391,100.49833,13.721278,10.5,2018-07-24 07:42:42
392,100.498361,13.721267,10.5,2018-07-24 07:42:43
393,100.498392,13.721251,10.4,2018-07-24 07:42:44
394,100.498447,13.721227,10.1,2018-07-24 07:42:46
395,100.498474,13.721214,10.0,2018-07-24 07:42:47
396,100.498529,13.721221,10.1,2018-07-24 07:42:49
397,100.498556,13.7212,10.2,2018-07-24 07:42:50
398,100.498594,13.721158,10.4,2018-07-24 07:42:52
399,100.498622,13.721133,10.6,2018-07-24 07:42:53
400,100.498653,13.721135,10.8,2018-07-24 07:42:54
401,100.498686,13.72113,11.1,2018-07-24 07:42:55
402,100.498731,13.721144,11.6,2018-07-24 07:42:57
403,100.498765,13.721147,11.7,2018-07-24 07:42:58
404,100.498821,13.721156,11.6,2018-07-24 07:43:00
405,100.498814,13.721184,11.6,2018-07-24 07:43:01
406,100.498824,13.721225,11.3,2018-07-24 07:43:02
407,100.498865,13.721217,11.1,2018-07-24 07:43:03
408,100.498898,13.72122,11.0,2018-07-24 07:43:05
409,100.498939,13.721228,11.0,2018-07-24 07:43:08
410,100.498989,13.72125,11.0,2018-07-24 07:43:10
411,100.499033,13.721246,11.0,2018-07-24 07:43:11
412,100.499078,13.721247,11.0,2018-07-24 07:43:12
413,100.499125,13.721272,11.0,2018-07-24 07:43:14
414,100.499172,13.721273,10.9,2018-07-24 07:43:16
415,100.499204,13.721272,10.9,2018-07-24 07:43:17
416,100.499242,13.721265,10.8,2018-07-24 07:43:18
417,100.499278,13.721276,10.8,2018-07-24 07:43:19
418,100.499325,13.721277,10.7,2018-07-24 07:43:20
419,100.499353,13.72128,10.7,2018-07-24 07:43:21
420,100.499384,13.721277,10.6,2018-07-24 07:43:22
421,100.499413,13.721294,10.6,2018-07-24 07:43:23
422,100.499447,13.721301,10.5,2018-07-24 07:43:24
423,100.499477,13.7213,10.5,2018-07-24 07:43:25
424,100.499508,13.721302,10.4,2018-07-24 07:43:26
425,100.499559,13.721318,10.3,2018-07-24 07:43:28
426,100.499603,13.72132,10.3,2018-07-24 07:43:30
427,100.499641,13.721327,10.2,2018-07-24 07:43:32
428,100.49968,13.721321,10.1,2018-07-24 07:43:34
429,100.499705,13.721337,10.1,2018-07-24 07:43:35
430,100.499753,13.721331,10.0,2018-07-24 07:43:37
431,100.4998,13.721324,10.0,2018-07-24 07:43:39
432,100.499836,13.721314,9.9,2018-07-24 07:43:40
433,100.499912,13.721261,9.8,2018-07-24 07:43:42
434,100.499946,13.721257,9.7,2018-07-24 07:43:43
435,100.499981,13.721251,9.7,2018-07-24 07:43:44
436,100.500034,13.721219,9.6,2018-07-24 07:43:45
437,100.500065,13.721219,9.6,2018-07-24 07:43:46
438,100.500106,13.721223,9.6,2018-07-24 07:43:47
439,100.500141,13.721223,9.5,2018-07-24 07:43:48
440,100.500158,13.721195,9.5,2018-07-24 07:43:49
441,100.500208,13.72118,9.5,2018-07-24 07:43:51
442,100.50028,13.721144,9.4,2018-07-24 07:43:53
443,100.50032,13.721122,9.4,2018-07-24 07:43:54
444,100.500368,13.721178,9.4,2018-07-24 07:43:55
445,100.500403,13.721184,9.3,2018-07-24 07:43:56
446,100.500407,13.721231,9.3,2018-07-24 07:43:57
447,100.500429,13.721266,9.3,2018-07-24 07:43:58
448,100.500466,13.721272,9.2,2018-07-24 07:43:59
449,100.500519,13.721272,9.2,2018-07-24 07:44:01
450,100.500543,13.721251,9.2,2018-07-24 07:44:02
451,100.500571,13.721245,9.1,2018-07-24 07:44:03
452,100.500624,13.721244,9.1,2018-07-24 07:44:04
453,100.500656,13.721247,9.0,2018-07-24 07:44:05
454,100.500695,13.721246,9.0,2018-07-24 07:44:06
455,100.500734,13.721247,9.0,2018-07-24 07:44:07
456,100.500764,13.721231,9.0,2018-07-24 07:44:08
457,100.500821,13.721231,8.9,2018-07-24 07:44:09
458,100.500877,13.721225,8.9,2018-07-24 07:44:10
459,100.500926,13.721236,8.9,2018-07-24 07:44:11
460,100.500961,13.721238,8.9,2018-07-24 07:44:12
461,100.50101,13.721229,9.0,2018-07-24 07:44:14
462,100.501053,13.721253,9.0,2018-07-24 07:44:16
463,100.501081,13.72126,9.0,2018-07-24 07:44:17
464,100.501126,13.721271,9.0,2018-07-24 07:44:19
465,100.501171,13.721287,9.0,2018-07-24 07:44:21
466,100.501198,13.721297,9.0,2018-07-24 07:44:22
467,100.501241,13.72133,9.1,2018-07-24 07:44:25
468,100.501258,13.721336,9.1,2018-07-24 07:44:27
469,100.501274,13.721343,9.1,2018-07-24 07:44:29
470,100.501291,13.721349,9.0,2018-07-24 07:44:31
471,100.501308,13.721355,9.0,2018-07-24 07:44:32
472,100.501346,13.721324,9.0,2018-07-24 07:44:33
473,100.501412,13.721323,8.9,2018-07-24 07:44:34
474,100.501461,13.721323,8.9,2018-07-24 07:44:36
475,100.501491,13.721323,8.8,2018-07-24 07:44:37
476,100.50152,13.721326,8.8,2018-07-24 07:44:38
477,100.501552,13.721334,8.7,2018-07-24 07:44:39
478,100.501583,13.721346,8.7,2018-07-24 07:44:40
479,100.501613,13.721359,8.7,2018-07-24 07:44:41
